,res,img
0,"[0.44126608317646376, 0.5587339168235362]",06079.jpg
1,"[0.6808205088396825, 0.3191794911603175]",00489.jpg
2,"[0.5502726619961575, 0.44972733800384246]",03068.jpg
3,"[0.4371907081449281, 0.5628092918550719]",04955.jpg
4,"[0.476023210231132, 0.5239767897688681]",17733.jpg
5,"[0.4950028139494265, 0.5049971860505735]",09684.jpg
6,"[0.5087038366744939, 0.4912961633255061]",12960.jpg
7,"[0.5183682974635642, 0.48163170253643584]",16797.jpg
8,"[0.5116924450309535, 0.48830755496904654]",11636.jpg
9,"[0.5964408391391255, 0.4035591608608745]",14458.jpg
10,"[0.4091288400706398, 0.5908711599293601]",05595.jpg
11,"[0.23904985542121912, 0.7609501445787809]",02111.jpg
12,"[0.5463719458945449, 0.45362805410545515]",04165.jpg
13,"[0.5442178190921617, 0.4557821809078383]",07464.jpg
14,"[0.557550117409614, 0.442449882590386]",00601.jpg
15,"[0.32172174891808497, 0.678278251081915]",10711.jpg
16,"[0.395389004250034, 0.604610995749966]",05763.jpg
17,"[0.5359312231947059, 0.4640687768052941]",07095.jpg
18,"[0.3617380504182111, 0.638261949581789]",05237.jpg
19,"[0.5258980379980205, 0.4741019620019795]",06721.jpg
20,"[0.4159017252420967, 0.5840982747579033]",08704.jpg
21,"[0.6285780822449495, 0.3714219177550505]",01329.jpg
22,"[0.6119078577111917, 0.3880921422888083]",15252.jpg
23,"[0.49513865978381105, 0.504861340216189]",13437.jpg
24,"[0.7821032816472278, 0.21789671835277225]",01393.jpg
25,"[0.6176133827553416, 0.3823866172446584]",18824.jpg
26,"[0.5404529488249336, 0.45954705117506645]",16325.jpg
27,"[0.3992120941605698, 0.6007879058394302]",08099.jpg
28,"[0.5641095305556094, 0.4358904694443906]",13284.jpg
29,"[0.3645519998447476, 0.6354480001552524]",13838.jpg
30,"[0.21871179335907937, 0.7812882066409206]",11394.jpg
31,"[0.5795377360321372, 0.4204622639678628]",08453.jpg
32,"[0.3160550369694735, 0.6839449630305265]",13916.jpg
33,"[0.5480603155504667, 0.45193968444953325]",02072.jpg
34,"[0.4146208930893283, 0.5853791069106717]",09033.jpg
35,"[0.6573385860389296, 0.3426614139610704]",19536.jpg
36,"[0.23852587863145025, 0.7614741213685498]",13155.jpg
37,"[0.5445865434997769, 0.45541345650022313]",18971.jpg
38,"[0.5589862019445361, 0.4410137980554639]",16343.jpg
39,"[0.5411903976401637, 0.45880960235983625]",09100.jpg
40,"[0.43063129499893266, 0.5693687050010674]",18017.jpg
41,"[0.733722758058569, 0.266277241941431]",13628.jpg
42,"[0.6636069009683867, 0.3363930990316133]",08531.jpg
43,"[0.6771526713113004, 0.3228473286886996]",11967.jpg
44,"[0.5788973199557531, 0.4211026800442469]",00149.jpg
45,"[0.2523045275475946, 0.7476954724524054]",15642.jpg
46,"[0.997147237477925, 0.002852762522075003]",07146.jpg
47,"[0.3428748859865319, 0.6571251140134682]",17771.jpg
48,"[0.6631605503696948, 0.3368394496303052]",16880.jpg
49,"[0.5381629761881659, 0.4618370238118341]",08001.jpg
50,"[0.5063944574899572, 0.49360554251004285]",13010.jpg
51,"[0.6922703720235207, 0.3077296279764793]",15498.jpg
