,res,img
0,"[0.13823283976013506, 0.8617671602398649]",06079.jpg
1,"[0.8616701275010188, 0.1383298724989812]",10158_1.jpg
2,"[0.8560034155524073, 0.14399658444759267]",17867_1.jpg
3,"[0.9016670224533758, 0.09833297754662418]",18760_1.jpg
4,"[0.12276582118806885, 0.8772341788119311]",00489.jpg
5,"[0.05047643074773429, 0.9495235692522657]",03068.jpg
6,"[0.9587222728948748, 0.04127772710512523]",04955.jpg
7,"[0.07805313512779212, 0.9219468648722079]",09684.jpg
8,"[0.07298802616002639, 0.9270119738399736]",17112_1.jpg
9,"[0.1020008150750063, 0.8979991849249938]",14220_1.jpg
10,"[0.05297987540996332, 0.9470201245900367]",14799_1.jpg
11,"[0.12581264918783597, 0.874187350812164]",18806_1.jpg
12,"[0.8254963224591977, 0.17450367754080232]",11503_1.jpg
13,"[0.8558869762657921, 0.14411302373420787]",17514_1.jpg
14,"[0.14046459275359507, 0.859535407246405]",18210_1.jpg
15,"[0.8625046090550952, 0.13749539094490482]",05595.jpg
16,"[0.05790913854334452, 0.9420908614566554]",11774_1.jpg
17,"[0.04517844320673795, 0.9548215567932621]",02111.jpg
18,"[0.058763026645190085, 0.9412369733548099]",04165.jpg
19,"[0.08203147742048167, 0.9179685225795183]",15340_1.jpg
20,"[0.11638106697199635, 0.8836189330280037]",07464.jpg
21,"[0.04519784975450717, 0.9548021502454929]",13770_1.jpg
22,"[0.7410972462108716, 0.2589027537891284]",00601.jpg
23,"[0.09150187273185972, 0.9084981272681403]",05763.jpg
24,"[0.8178695491858953, 0.18213045081410473]",07095.jpg
25,"[0.33996390382114927, 0.6600360961788507]",05237.jpg
26,"[0.06419686002057094, 0.9358031399794291]",06721.jpg
27,"[0.9275359506297425, 0.07246404937025752]",13875_1.jpg
28,"[0.8956703991926876, 0.10432960080731235]",12001_1.jpg
29,"[0.885617807448233, 0.11438219255176696]",08704.jpg
30,"[0.11989365211822468, 0.8801063478817753]",01329.jpg
31,"[0.10376681092200508, 0.8962331890779949]",16863_1.jpg
32,"[0.1324690950726775, 0.8675309049273225]",01393.jpg
33,"[0.12187311999068486, 0.8781268800093152]",08099.jpg
34,"[0.9269537541966659, 0.07304624580333408]",08453.jpg
35,"[0.06926196898833667, 0.9307380310116633]",16337_1.jpg
36,"[0.14376370587436202, 0.856236294125638]",14285_1.jpg
37,"[0.07974150478371403, 0.920258495216286]",02072.jpg
38,"[0.06547769217333929, 0.9345223078266607]",09033.jpg
39,"[0.07764559762463856, 0.9223544023753615]",18482_1.jpg
40,"[0.0742300452172563, 0.9257699547827437]",18471_1.jpg
41,"[0.15637796192435327, 0.8436220380756467]",11214_1.jpg
42,"[0.9700168836965593, 0.02998311630344075]",19536.jpg
43,"[0.1053581478390809, 0.8946418521609191]",12200_1.jpg
44,"[0.8356265403947292, 0.16437345960527083]",09100.jpg
45,"[0.06598226241533893, 0.9340177375846611]",17664_1.jpg
46,"[0.0863203244774787, 0.9136796755225213]",08531.jpg
47,"[0.735876884860952, 0.26412311513904796]",00149.jpg
48,"[0.7822585340293815, 0.2177414659706185]",07146.jpg
49,"[0.06217857905257234, 0.9378214209474277]",14775_1.jpg
50,"[0.904810883191989, 0.09518911680801101]",19174_1.jpg
51,"[0.887752527702847, 0.11224747229715304]",08001.jpg
52,"[0.049040346212812204, 0.9509596537871878]",02052.jpg
53,"[0.9181237749616721, 0.08187622503832792]",18238_1.jpg
54,"[0.7930873876846047, 0.20691261231539526]",04692.jpg
55,"[0.14803314638358983, 0.8519668536164102]",05293.jpg
56,"[0.9278658619418192, 0.07213413805818081]",02305.jpg
57,"[0.09895398707523918, 0.9010460129247608]",14396_1.jpg
58,"[0.94669021327796, 0.05330978672204001]",02348.jpg
59,"[0.11880688544314852, 0.8811931145568515]",19293_1.jpg
60,"[0.02185177278813872, 0.9781482272118612]",01710.jpg
61,"[0.06959188030041336, 0.9304081196995866]",08376.jpg
62,"[0.8537522560111782, 0.1462477439888218]",17374_1.jpg
63,"[0.1426381261037474, 0.8573618738962526]",11312_1.jpg
64,"[0.12689941586291215, 0.8731005841370878]",17881_1.jpg
65,"[0.9011236391158377, 0.0988763608841623]",09554.jpg
66,"[0.9049661355741427, 0.09503386442585726]",19417.jpg
67,"[0.0743464845038716, 0.9256535154961284]",19647.jpg
68,"[0.07327912437656466, 0.9267208756234353]",00272.jpg
69,"[0.058200236759882784, 0.9417997632401172]",05635.jpg
70,"[0.843641444623416, 0.15635855537658405]",06103.jpg
71,"[0.8828814842127733, 0.11711851578722665]",03692.jpg
72,"[0.09412175668070406, 0.9058782433192959]",11935_1.jpg
73,"[0.9344834947311222, 0.06551650526887776]",02896.jpg
74,"[0.17260183585941896, 0.827398164140581]",03884.jpg
75,"[0.15882318694327466, 0.8411768130567253]",07080.jpg
76,"[0.5101593277571853, 0.4898406722428147]",06927.jpg
77,"[0.9520270139144947, 0.047972986085505265]",17892_1.jpg
78,"[0.09076442391662948, 0.9092355760833706]",16449_1.jpg
79,"[0.926779095266743, 0.07322090473325704]",06282.jpg
80,"[0.15238021308389452, 0.8476197869161055]",15333_1.jpg
81,"[0.9217527993945157, 0.07824720060548429]",04918.jpg
82,"[0.23660463040229773, 0.7633953695977023]",06938.jpg
83,"[0.8854237419705409, 0.11457625802945914]",18057_1.jpg
84,"[0.059849793320266256, 0.9401502066797337]",14772_1.jpg
85,"[0.0247433484057521, 0.9752566515942479]",14884_1.jpg
86,"[0.9028896349628365, 0.09711036503716353]",13693_1.jpg
87,"[0.8656872828892468, 0.1343127171107532]",06122.jpg
88,"[0.0988569543363931, 0.9011430456636069]",19159_1.jpg
89,"[0.08550524947117158, 0.9144947505288284]",15779_1.jpg
90,"[0.9206854392672088, 0.0793145607327912]",08311.jpg
91,"[0.9397620757243494, 0.060237924275650556]",04857.jpg
92,"[0.8995323021987619, 0.1004676978012381]",10045_1.jpg
93,"[0.9025597236507598, 0.09744027634924024]",16965_1.jpg
94,"[0.8567214578198684, 0.14327854218013159]",19056_1.jpg
95,"[0.8938849967979197, 0.10611500320208034]",19474.jpg
96,"[0.6368840846901744, 0.36311591530982557]",03876.jpg
97,"[0.09299617691008946, 0.9070038230899106]",04678.jpg
98,"[0.08661142269401696, 0.913388577305983]",04097.jpg
99,"[0.8779134079838538, 0.12208659201614624]",00707.jpg
100,"[0.9527256496341866, 0.0472743503658134]",04280.jpg
101,"[0.40790622756117917, 0.5920937724388209]",13541_1.jpg
102,"[0.8839876574356188, 0.1160123425643812]",05761.jpg
103,"[0.08950299831163035, 0.9104970016883697]",19134_1.jpg
104,"[0.9296900774321256, 0.07030992256787438]",05039.jpg
105,"[0.034466028838129985, 0.96553397116187]",01039.jpg
106,"[0.9209377243882085, 0.07906227561179147]",00979.jpg
107,"[0.09905101981408528, 0.9009489801859147]",08887.jpg
108,"[0.9347357798521221, 0.06526422014787792]",13710_1.jpg
109,"[0.1821498573618739, 0.8178501426381262]",10190_1.jpg
110,"[0.9309320964893555, 0.06906790351064451]",14724_1.jpg
111,"[0.9744221700401715, 0.02557782995982849]",16487_1.jpg
112,"[0.06990238506472084, 0.9300976149352792]",12642_1.jpg
113,"[0.8480661375147975, 0.15193386248520246]",17491_1.jpg
114,"[0.15358341904558598, 0.846416580954414]",18045_1.jpg
115,"[0.922858972617361, 0.07714102738263895]",04310.jpg
116,"[0.8802227871683906, 0.11977721283160936]",14090_1.jpg
117,"[0.9441673620679617, 0.0558326379320383]",05555.jpg
118,"[0.9395874167944265, 0.06041258320557352]",12702_1.jpg
119,"[0.07440470414717926, 0.9255952958528207]",06470.jpg
120,"[0.08894020842632304, 0.911059791573677]",02043.jpg
121,"[0.203768751576782, 0.796231248423218]",04716.jpg
122,"[0.9383065846416581, 0.06169341535834194]",12368_1.jpg
123,"[0.13215859030837004, 0.8678414096916299]",08205.jpg
124,"[0.9381513322595043, 0.06184866774049569]",04035.jpg
125,"[0.055153408760115666, 0.9448465912398843]",09450.jpg
126,"[0.9090415106056784, 0.0909584893943216]",01613.jpg
127,"[0.06854392672087563, 0.9314560732791244]",08151.jpg
128,"[0.8505307690814881, 0.14946923091851194]",01744.jpg
129,"[0.16922509654757514, 0.8307749034524249]",04613.jpg
130,"[0.23594480777814433, 0.7640551922218557]",05707.jpg
131,"[0.8178695491858953, 0.18213045081410473]",16652_1.jpg
132,"[0.090453919152322, 0.909546080847678]",00547.jpg
133,"[0.08368103398086514, 0.9163189660191349]",15095_1.jpg
134,"[0.9456810727939606, 0.05431892720603937]",17780_1.jpg
135,"[0.07648120475848551, 0.9235187952415145]",02151.jpg
136,"[0.05569679209765375, 0.9443032079023462]",19079_1.jpg
137,"[0.8272623183061966, 0.17273768169380344]",09813.jpg
138,"[0.8083603407789788, 0.19163965922102122]",18002_1.jpg
139,"[0.9115837683634458, 0.08841623163655421]",16324_1.jpg
140,"[0.04574123309204526, 0.9542587669079547]",12877_1.jpg
141,"[0.9058200236759882, 0.09417997632401176]",15174_1.jpg
142,"[0.40117215548526075, 0.5988278445147392]",19812.jpg
143,"[0.9104970016883697, 0.08950299831163033]",08936.jpg
144,"[0.05643424091288401, 0.943565759087116]",14995_1.jpg
145,"[0.9302916804129714, 0.06970831958702861]",00877.jpg
146,"[0.8814259931300821, 0.11857400686991793]",02679.jpg
147,"[0.13114944982437074, 0.8688505501756293]",05572.jpg
148,"[0.05245589862019445, 0.9475441013798056]",04160.jpg
149,"[0.6839643695782958, 0.31603563042170424]",12573_1.jpg
150,"[0.856954336393099, 0.14304566360690096]",12223_1.jpg
151,"[0.904985542121912, 0.09501445787808804]",16940_1.jpg
152,"[0.07374488152302587, 0.9262551184769742]",07675.jpg
153,"[0.03673659492712841, 0.9632634050728716]",03559.jpg
154,"[0.12435715810514468, 0.8756428418948553]",04981.jpg
155,"[0.11760367948145704, 0.882396320518543]",06912.jpg
156,"[0.9020163403132216, 0.09798365968677836]",18290_1.jpg
157,"[0.0932678685788585, 0.9067321314211415]",13953_1.jpg
158,"[0.06421626656834016, 0.9357837334316599]",09398.jpg
